TJ                    X                   Y                   Z                  VX                  VY                  VZ                  FI                 PSI                GAMA
s                    m                   m                   m               m / s               m / s               m / s                  бу                  бу                  бу
19.1                317.68              2976.3              -1.5739             66.747              349                 -0.25601            74.174              0                   0                   
19.2                324.4               3011.3              -1.5996             67.588              350.95              -0.25869            74.101              0                   0                   
19.3                331.2               3046.5              -1.6257             68.427              352.87              -0.26139            74.029              0                   0                   
19.4                338.08              3081.8              -1.6519             69.265              354.78              -0.2641             73.958              0                   0                   
19.5                345.05              3117.4              -1.6785             70.101              356.67              -0.26681            73.887              0                   0                   
19.6                352.1               3153.2              -1.7053             70.938              358.55              -0.26954            73.817              0                   0                   
19.7                359.24              3189.1              -1.7324             71.775              360.41              -0.27227            73.747              0                   0                   
19.8                366.46              3225.3              -1.7597             72.614              362.27              -0.27502            73.678              0                   0                   
19.9                373.76              3261.6              -1.7874             73.455              364.12              -0.27777            73.609              0                   0                   
20                  381.15              3298.1              -1.8153             74.301              365.98              -0.28053            73.541              0                   0                   
20.1                388.62              3334.8              -1.8435             75.151              367.83              -0.2833             73.473              0                   0                   
20.2                396.18              3371.7              -1.872              76.008              369.7               -0.28608            73.405              0                   0                   
20.3                403.82              3408.7              -1.9007             76.871              371.58              -0.28887            73.338              0                   0                   
20.4                411.56              3446                -1.9297             77.743              373.47              -0.29166            73.271              0                   0                   
20.5                419.37              3483.4              -1.959              78.623              375.38              -0.29447            73.204              0                   0                   
20.6                427.28              3521                -1.9886             79.514              377.31              -0.29729            73.137              0                   0                   
20.7                435.28              3558.9              -2.0185             80.417              379.26              -0.30011            73.07               0                   0                   
20.8                443.36              3596.9              -2.0486             81.331              381.25              -0.30294            73.003              0                   0                   
20.9                451.54              3635.1              -2.0791             82.259              383.26              -0.30579            72.936              0                   0                   
21                  459.82              3673.6              -2.1098             83.2                385.3               -0.30864            72.869              0                   0                   
21.1                468.18              3712.2              -2.1408             84.156              387.38              -0.3115             72.802              0                   0                   
21.2                476.65              3751                -2.1721             85.127              389.5               -0.31438            72.735              0                   0                   
21.3                485.21              3790.1              -2.2037             86.113              391.65              -0.31726            72.668              0                   0                   
21.4                493.87              3829.4              -2.2356             87.116              393.84              -0.32015            72.601              0                   0                   
21.5                502.63              3868.9              -2.2677             88.136              396.07              -0.32306            72.534              0                   0                   
21.6                511.5               3908.6              -2.3002             89.172              398.34              -0.32597            72.467              0                   0                   
21.7                520.47              3948.5              -2.3329             90.225              400.65              -0.3289             72.4                0                   0                   
21.8                529.54              3988.7              -2.366              91.294              403                 -0.33184            72.332              0                   0                   
21.9                538.73              4029.1              -2.3993             92.381              405.39              -0.33479            72.265              0                   0                   
22                  548.02              4069.8              -2.4329             93.483              407.81              -0.33775            72.198              0                   0                   
22.1                557.43              4110.7              -2.4668             94.602              410.27              -0.34072            72.13               0                   0                   
